psr_ref56_BL_DM,psr_ref56_AS_DM,psr_ref56_SR_DM,psr_ref56_RB_DM,opFlow_ilk_ref56_DM,opFlow_tvl1_ref56_DM,deform56_DM,psr_ref68_BL_DM,psr_ref68_AF_DM,psr_ref68_SR_DM,psr_ref68_RB_DM,opFlow_ilk_ref68_DM,opFlow_tvl1_ref68_DM,deform68_DM,psr_ref97_BL_DM,psr_ref97_AF_DM,psr_ref97_SR_DM,psr_ref97_RB_DM,opFlow_ilk_ref97_DM,opFlow_tvl1_ref97_DM,deform97_DM
0.07258913771636855,0.07471272779433907,0.07654331055619798,0.07735419263648825,0.09605648489345421,0.08067687580742573,0.08749520303791111,0.052214014462739586,0.054337160142878635,0.05503296852956637,0.05646958878503794,0.06539712005139374,0.05470946674927117,0.06757818791188747,0.058218185707555686,0.05872967938217888,0.0601396072585457,0.061067605648495345,0.08368733214511986,0.08134103485173212,0.07339495726355967
0.0739349156413081,0.07601869000998146,0.07779599356672115,0.07760913019323837,0.09454138635396728,0.08072607189189357,0.08724294613088977,0.05551342277926642,0.056458062988956864,0.05748415538041971,0.05705169677026442,0.06543832640411501,0.05482405275536821,0.06561427336537783,0.06000912486226335,0.0616095805281777,0.062415706557717714,0.061886321953212864,0.08332434635273119,0.08141198729441697,0.0735469825406416
0.07369198426546308,0.07582263203997835,0.07763836660710888,0.07771085020179838,0.09131498354583689,0.080775230944533,0.08878780345835172,0.05481243528751881,0.05602782663923161,0.057020947015812375,0.05705549957644459,0.06619956608764561,0.05489326063027953,0.06593394493196147,0.05960164906950798,0.060952940733662836,0.06192807220360273,0.061781357092248114,0.08489440129039105,0.08145065679794804,0.07372550018649582
0.07390405681770083,0.07602111530484847,0.07784415663537182,0.07784491110023885,0.09234890318803211,0.08083228620044307,0.088756083859133,0.05514137804491071,0.05628149106514969,0.057307860121098494,0.05721823595475739,0.06689012637259059,0.05494748242113356,0.0656424889963769,0.05982111846463228,0.06123819881610045,0.06217509307380655,0.061920271131293086,0.08416420753620475,0.0814548610604197,0.07390792171310291
0.07397980858733698,0.07609780319604939,0.07793560733213128,0.0779516254272444,0.0917637710559246,0.08088999409698841,0.08874153524106394,0.0551913560485433,0.05634639532723254,0.05738908195336766,0.05733290134569945,0.06524326712462178,0.0549927033956088,0.06547441989828486,0.059862466117123335,0.06126103201188495,0.062213443673432615,0.06198287916197608,0.08144012294892654,0.08146133146188192,0.07913565438393985
0.07406975613215351,0.0761832189667642,0.07803194534401302,0.07803852686156151,0.09213199269398703,0.0809246453204829,0.08859348357007191,0.05530437882917111,0.0564481304074418,0.057511152798175,0.0574453310366623,0.06631929668235116,0.05504998948280105,0.06715371961221425,0.059934958882159176,0.061337066607651584,0.062288563552952085,0.062047995811850574,0.06828254758929134,0.08160096656430664,0.0795532859221272
0.07412627775728399,0.07623518541002502,0.07809302956157764,0.07809572915514879,0.09235520183738855,0.08089597325973545,0.0886868382581038,0.05538026332586644,0.056517994619029586,0.05759827861556531,0.057533257000221424,0.06541031060905828,0.055081735492379776,0.06674741056295992,0.05997523308130255,0.061375437320287676,0.06232822876257787,0.06208817976852341,0.08293214854214666,0.08167370571318246,0.07936108742557585
0.07415693593613791,0.07626003197876308,0.07812373464814029,0.07812057455405506,0.08949828292611993,0.08084612194725803,0.08864185472702503,0.05543833926989361,0.056567706707770386,0.05766248965052953,0.05759451759511502,0.061820398270385366,0.0551161697221423,0.06512919375128833,0.059996376215607765,0.061396141190280626,0.06234742835959059,0.06210655449121052,0.08222210019858117,0.08168204229804565,0.07925818893153017
0.07415735520829973,0.0762540929409137,0.078120145125709,0.07811172989086052,0.10290938679623556,0.08079566405514828,0.08893877937805318,0.05546835209895293,0.056589856829554544,0.057695045406446696,0.057624307264488424,0.0692926584600633,0.05514407819988586,0.06669702047912535,0.059993447114806316,0.061392036784912014,0.0623405958482231,0.06210072586210367,0.08542323865881687,0.08175465928294019,0.0797073487507004
0.07413057232191594,0.0762192530543425,0.07808384837909971,0.07807064061416286,0.08599670083910667,0.08073075583727654,0.08915038589914212,0.055470057155727774,0.05658415851735276,0.05769505619169402,0.057620940460265016,0.056761442874450174,0.05517958931232744,0.06597956609769326,0.05996853055202517,0.06136562265847816,0.062310204587977744,0.0620721710028578,0.08519714466144623,0.08165133711803849,0.07906122554995003
